                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0187,                 3.2942,                 1.3653,                0.57985,                0.07152,                0.04378,                0.02596,                 1.3507,                 4.3268,                 1.8439,               0.067097,             0.00033235,             0.00033235
                      2,                   1.07,                 2.4597,                 1.3887,                0.33755,                0.17115,                0.09632,                 0.0599,                 1.4296,                 3.5281,                 2.0793,               0.034091,             0.00065903,             0.00065903
                      3,                 1.0871,                 2.2845,                 1.4028,                0.35452,                0.24301,                0.16502,                0.10946,                 1.2363,                 3.0401,                 1.7104,              0.0010774,             0.00097905,             0.00097905
                      4,                 1.0724,                 2.1656,                 1.3864,                 0.3441,                0.27911,                0.22878,                0.14782,                   1.35,                 2.8231,                 1.9008,             0.00097001,             0.00097001,             0.00097001
                      5,                 1.0409,                 2.0098,                  1.359,                0.43255,                0.32673,                0.28933,                0.20439,                  1.079,                 2.4488,                 1.5342,             0.00097001,             0.00097001,             0.00097001
                      6,                 1.0034,                 1.9097,                 1.3397,                0.35292,                0.36094,                0.30077,                0.21227,                 1.0803,                 2.3852,                 1.5631,             0.00096002,             0.00096002,             0.00096002
                      7,                 0.9974,                 1.8374,                 1.3342,                 0.4401,                0.37879,                 0.3597,                0.26692,                0.97666,                 2.0914,                 1.4464,             0.00095003,             0.00095003,             0.00095003
                      8,                0.97248,                 1.7538,                 1.3179,                0.45104,                0.40577,                0.38736,                0.28583,                0.97306,                  1.996,                 1.4399,             0.00094003,             0.00094003,             0.00094003
                      9,                0.96793,                 1.6994,                 1.3078,                0.47357,                0.46899,                0.44889,                0.33366,                0.98249,                 1.8887,                 1.4347,             0.00093003,             0.00093003,             0.00093003
                     10,                0.94932,                  1.655,                 1.3005,                0.48389,                0.43903,                0.41848,                0.31263,                0.94826,                 1.9715,                 1.4154,             0.00092004,             0.00092004,             0.00092004
                     11,                0.95551,                 1.6119,                 1.2962,                0.53251,                0.42825,                 0.4413,                0.33472,                0.91349,                 1.8326,                 1.3858,             0.00091005,             0.00091005,             0.00091005
                     12,                0.93754,                 1.5823,                 1.2873,                0.53205,                0.46383,                0.47118,                0.35574,                0.92771,                  1.785,                 1.3868,             0.00090005,             0.00090005,             0.00090005
                     13,                0.93003,                 1.5528,                 1.2846,                0.52486,                0.46239,                0.47847,                0.36251,                0.90925,                 1.7569,                 1.3816,             0.00089006,             0.00089006,             0.00089006
                     14,                0.92698,                 1.5266,                 1.2772,                0.52385,                0.49435,                0.50277,                0.38477,                  0.877,                 1.6227,                 1.3437,             0.00088006,             0.00088006,             0.00088006
                     15,                0.92284,                 1.4971,                 1.2738,                0.50846,                0.42374,                0.43739,                0.33495,                 0.8949,                 1.8608,                 1.3601,             0.00087006,             0.00087006,             0.00087006
                     16,                0.91922,                 1.4634,                 1.2678,                0.54984,                 0.4974,                 0.5161,                0.39886,                0.86905,                 1.5862,                 1.3445,             0.00086007,             0.00086007,             0.00086007
                     17,                0.91111,                  1.454,                 1.2678,                0.56208,                0.51125,                0.53689,                0.41921,                 0.8429,                 1.5646,                 1.3163,             0.00085008,             0.00085008,             0.00085008
                     18,                0.90766,                 1.4387,                 1.2664,                0.57487,                0.51793,                0.55362,                0.43358,                0.82681,                 1.5179,                 1.2949,             0.00084008,             0.00084008,             0.00084008
                     19,                0.90719,                 1.4172,                 1.2643,                0.58329,                0.52165,                0.55665,                 0.4312,                0.81983,                 1.4822,                 1.2969,             0.00083008,             0.00083008,             0.00083008
                     20,                0.89303,                 1.3963,                 1.2563,                0.60349,                0.53199,                0.57453,                0.45054,                0.82389,                 1.4386,                 1.3058,             0.00082009,             0.00082009,             0.00082009
                     21,                0.89918,                 1.3903,                 1.2599,                0.60203,                0.54461,                0.58084,                0.45816,                0.80879,                 1.4363,                 1.2783,              0.0008101,              0.0008101,              0.0008101
                     22,                0.88979,                 1.3616,                 1.2517,                0.61864,                0.55301,                0.59271,                0.47011,                0.79408,                  1.351,                 1.2691,              0.0008001,              0.0008001,              0.0008001
                     23,                0.88864,                 1.3536,                 1.2538,                0.62896,                0.55702,                0.60173,                0.48247,                0.77898,                 1.3502,                 1.2643,             0.00079011,             0.00079011,             0.00079011
                     24,                0.88711,                 1.3377,                  1.251,                0.62693,                0.55501,                0.60623,                0.48843,                0.76547,                 1.3628,                 1.2449,             0.00078011,             0.00078011,             0.00078011
                     25,                 0.8881,                 1.3215,                 1.2468,                0.64674,                0.56245,                0.61688,                0.49586,                0.76037,                 1.2979,                  1.247,             0.00077012,             0.00077012,             0.00077012
                     26,                0.87828,                 1.3254,                 1.2449,                 0.6607,                0.55923,                0.61099,                0.49347,                0.76543,                  1.317,                 1.2484,             0.00076012,             0.00076012,             0.00076012
                     27,                0.87124,                 1.3023,                  1.241,                0.65033,                0.57381,                0.63081,                0.50707,                0.75664,                 1.3004,                 1.2358,             0.00075012,             0.00075012,             0.00075012
                     28,                0.86926,                  1.289,                 1.2357,                0.66659,                0.57214,                0.63343,                0.51371,                0.75372,                 1.2571,                 1.2356,             0.00074013,             0.00074013,             0.00074013
                     29,                0.86717,                  1.279,                 1.2378,                 0.6444,                0.59105,                0.64046,                0.52206,                0.73549,                 1.2565,                 1.2237,             0.00073014,             0.00073014,             0.00073014
                     30,                0.86734,                 1.2781,                 1.2351,                0.68692,                0.58836,                0.64813,                0.52857,                0.73393,                  1.243,                 1.2192,             0.00072014,             0.00072014,             0.00072014
                     31,                0.87007,                 1.2531,                 1.2373,                0.67844,                0.59361,                0.64715,                0.52701,                0.72638,                 1.2476,                 1.2191,             0.00071014,             0.00071014,             0.00071014
                     32,                0.86348,                 1.2435,                 1.2353,                 0.6668,                0.60135,                0.64885,                0.52822,                0.73347,                 1.2414,                 1.2279,             0.00070015,             0.00070015,             0.00070015
                     33,                 0.8557,                 1.2399,                 1.2282,                0.66255,                0.59966,                0.65335,                  0.534,                0.71989,                 1.2152,                 1.2119,             0.00069016,             0.00069016,             0.00069016
                     34,                0.86005,                 1.2296,                 1.2274,                0.66056,                0.60892,                0.65154,                0.53034,                0.72526,                 1.2241,                 1.2152,             0.00068016,             0.00068016,             0.00068016
                     35,                0.85024,                 1.2141,                 1.2248,                0.66506,                0.60374,                0.65666,                0.53762,                0.71775,                 1.2157,                 1.2073,             0.00067016,             0.00067016,             0.00067016
                     36,                0.84812,                 1.2121,                 1.2261,                0.64669,                0.62513,                0.65725,                 0.5384,                0.72256,                 1.2035,                  1.213,             0.00066017,             0.00066017,             0.00066017
                     37,                0.85266,                 1.2028,                 1.2257,                0.66777,                 0.6017,                0.66239,                0.54376,                0.71772,                 1.1894,                 1.2089,             0.00065018,             0.00065018,             0.00065018
                     38,                0.84222,                 1.1959,                 1.2217,                0.67071,                0.60727,                0.66581,                0.54729,                0.71242,                 1.1824,                 1.2066,             0.00064018,             0.00064018,             0.00064018
                     39,                0.85024,                 1.1791,                  1.223,                0.66871,                0.60917,                0.66398,                0.54823,                0.71474,                  1.179,                 1.2078,             0.00063019,             0.00063019,             0.00063019
                     40,                 0.8429,                  1.178,                 1.2198,                0.66594,                 0.6311,                0.66757,                 0.5514,                0.71221,                 1.1759,                 1.2057,             0.00062019,             0.00062019,             0.00062019
                     41,                0.84027,                 1.1685,                 1.2197,                0.67312,                0.63177,                0.66947,                  0.553,                0.70829,                 1.1716,                 1.2027,             0.00061019,             0.00061019,             0.00061019
                     42,                0.83726,                 1.1607,                 1.2157,                0.68059,                0.61323,                0.66866,                0.55342,                0.70517,                 1.1719,                 1.1997,              0.0006002,              0.0006002,              0.0006002
                     43,                0.83521,                 1.1473,                 1.2174,                 0.6793,                0.61265,                0.66828,                 0.5534,                0.70272,                 1.1707,                 1.1995,             0.00059021,             0.00059021,             0.00059021
                     44,                0.83618,                 1.1446,                 1.2142,                0.67886,                0.61387,                0.66942,                0.55544,                0.70124,                 1.1721,                 1.1979,             0.00058021,             0.00058021,             0.00058021
                     45,                 0.8285,                 1.1385,                 1.2106,                0.67282,                0.61899,                0.66902,                0.55603,                0.69737,                  1.171,                 1.1948,             0.00057022,             0.00057022,             0.00057022
                     46,                0.82955,                 1.1271,                 1.2109,                0.66664,                0.62213,                0.66922,                0.55737,                0.69629,                 1.1679,                 1.1939,             0.00056022,             0.00056022,             0.00056022
                     47,                0.82555,                 1.1157,                 1.2096,                0.67402,                0.61675,                0.67041,                0.55904,                0.69499,                 1.1668,                 1.1916,             0.00055022,             0.00055022,             0.00055022
                     48,                0.82953,                 1.1111,                 1.2086,                0.66962,                0.62472,                0.67091,                0.55913,                0.69366,                 1.1652,                   1.19,             0.00054023,             0.00054023,             0.00054023
                     49,                0.82292,                 1.1154,                 1.2071,                0.67465,                0.61783,                0.67198,                0.55966,                0.69203,                 1.1647,                 1.1883,             0.00053023,             0.00053023,             0.00053023
